timestamp,open,high,low,close,volume,volume_btc
1526783400000, 13.736, 13.772, 13.58, 13.637, 2201744, 1612528.1261572165
1526785200000, 13.64, 13.67, 13.529, 13.654, 1326390, 974742.6296384112
1526787000000, 13.649, 13.654, 13.5, 13.5, 900004, 663215.1507652331
1526788800000, 13.5, 13.568, 13.456, 13.544, 1591586, 1178754.4305915742
1526790600000, 13.544, 13.585, 13.359, 13.456, 1149652, 854191.168147313
1526792400000, 13.456, 13.459, 13.328, 13.39, 920732, 687481.6071764871
1526794200000, 13.39, 13.439, 13.372, 13.438, 709244, 528994.8327220203
1526796000000, 13.436, 13.44, 13.395, 13.411, 501302, 373457.7413352778
1526797800000, 13.411, 13.439, 13.377, 13.383, 428538, 319754.81336810236
1526799600000, 13.383, 13.476, 13.351, 13.475, 545276, 406840.710749464
1526801400000, 13.445, 13.66, 13.4, 13.491, 1588420, 1173645.241751152
1526803200000, 13.492, 13.58, 13.469, 13.522, 720132, 532304.3397358061
1526805000000, 13.517, 13.547, 13.47, 13.513, 369634, 273687.3532501359
1526806800000, 13.513, 13.665, 13.51, 13.604, 929344, 683709.0731065343
1526808600000, 13.59, 13.665, 13.549, 13.618, 1332058, 977841.3099913541
1526810400000, 13.628, 13.788, 13.58, 13.678, 2054746, 1503501.860150215
1526812200000, 13.68, 13.708, 13.575, 13.582, 980458, 719586.4303131368
1526814000000, 13.58, 13.634, 13.512, 13.61, 830622, 611801.5719177957
1526815800000, 13.61, 13.639, 13.581, 13.602, 398204, 292594.1254129095
1526817600000, 13.6, 13.65, 13.542, 13.552, 789020, 580398.5045665529
1526819400000, 13.553, 13.572, 13.43, 13.439, 1146862, 848804.1498195585
1526821200000, 13.448, 13.58, 13.43, 13.509, 1039796, 769821.3936716656
1526823000000, 13.517, 13.57, 13.498, 13.547, 720746, 532637.6782174968
1526824800000, 13.548, 13.629, 13.529, 13.59, 771600, 568037.3984819991
1526826600000, 13.584, 13.639, 13.551, 13.623, 801818, 590168.8881681521
1526828400000, 13.616, 13.7, 13.58, 13.68, 1098640, 806014.9480301159
1526830200000, 13.673, 13.77, 13.63, 13.678, 1665894, 1217615.9206125312
1526832000000, 13.678, 13.95, 13.675, 13.918, 3949904, 2853323.7728293813
1526833800000, 13.919, 14.159, 13.916, 14.053, 3055622, 2177573.9918584214
1526835600000, 14.054, 14.1, 13.975, 14.038, 1017186, 724893.4951244588
1526837400000, 14.038, 14.09, 13.952, 14.035, 817638, 583167.1026223501
1526839200000, 14.035, 14.153, 14.031, 14.1, 986070, 699088.2849176071
1526841000000, 14.1, 14.119, 14.051, 14.09, 501980, 356365.7999877688
1526842800000, 14.093, 14.126, 13.93, 13.948, 1230232, 877382.5859853441
1526844600000, 13.95, 14.018, 13.908, 13.995, 380940, 272638.3874469926
1526846400000, 13.993, 14.079, 13.993, 14.026, 249938, 177972.71612116368
1526848200000, 14.036, 14.179, 14, 14.091, 679596, 482222.5072236975
1526850000000, 14.09, 14.2, 14.09, 14.114, 649500, 458860.24809240666
1526851800000, 14.113, 14.141, 14.075, 14.09, 251468, 178148.32157418705
1526853600000, 14.08, 14.1, 13.99, 14.007, 451910, 321655.7086227089
1526855400000, 14.007, 14.032, 13.926, 13.947, 647264, 463470.8904390606
1526857200000, 13.946, 14.064, 13.946, 14.053, 494082, 352240.47006181435
1526859000000, 14.063, 14.066, 14.011, 14.04, 314234, 223956.96530041512
1526860800000, 14.03, 14.076, 13.946, 13.971, 740134, 528550.2222481671
1526862600000, 13.971, 13.983, 13.871, 13.938, 1098540, 789251.7434102293
1526864400000, 13.946, 13.97, 13.871, 13.928, 607814, 437075.48631805356
1526866200000, 13.925, 13.946, 13.7, 13.775, 1164684, 842982.7484969882
1526868000000, 13.775, 13.89, 13.775, 13.838, 1003278, 725156.4238822681
1526869800000, 13.835, 13.918, 13.832, 13.881, 692266, 498900.44662946975
1526871600000, 13.881, 14.03, 13.869, 13.988, 864054, 618519.2410583547
1526873400000, 13.997, 14.018, 13.871, 13.917, 1143478, 820258.5386553289
1526875200000, 13.911, 14.043, 13.894, 14.027, 858310, 614197.9461176184
1526877000000, 14.024, 14.118, 13.964, 14.08, 1045360, 743745.7990139772
1526878800000, 14.079, 14.123, 13.98, 14.035, 1206568, 858546.1930597614
1526880600000, 14.033, 14.08, 13.951, 13.977, 858070, 612414.1282412449
1526882400000, 13.975, 14.028, 13.881, 13.959, 1027028, 736819.0343329768
1526884200000, 14.063, 14.137, 13.942, 13.994, 1071308, 765527.8986291074
1526887800000, 13.993, 14.04, 13.953, 13.954, 577380, 412534.3445661719
1526889600000, 13.955, 13.976, 13.87, 13.91, 974222, 700205.1744329887
1526891400000, 13.917, 13.945, 13.81, 13.94, 846422, 609866.1266450047
1526893200000, 13.938, 13.951, 13.842, 13.884, 366774, 263918.0537838486
1526895000000, 13.884, 13.884, 13.72, 13.758, 1345234, 974211.7036068691
1526896800000, 13.746, 13.813, 13.25, 13.435, 4999370, 3708762.5821759067
1526898600000, 13.43, 13.521, 13.3, 13.429, 1863246, 1388209.8886403227
1526900400000, 13.43, 13.58, 13.298, 13.456, 1770036, 1318223.8317298763
1526902200000, 13.454, 13.558, 13.451, 13.487, 834530, 617652.033494895
1526904000000, 13.48, 13.608, 13.428, 13.56, 1062486, 784328.7178480935
1526905800000, 13.559, 13.609, 13.511, 13.54, 713632, 526015.7687894758
1526907600000, 13.54, 13.56, 13.452, 13.48, 907256, 671690.2114765473
1526909400000, 13.461, 13.542, 13.46, 13.509, 405722, 300410.1057732019
1526911200000, 13.501, 13.509, 13.186, 13.312, 2178390, 1634161.175520763
1526913000000, 13.308, 13.36, 13.15, 13.28, 2037522, 1536645.602248548
1526914800000, 13.276, 13.354, 13.178, 13.228, 1172758, 883107.0568193448
1526916600000, 13.22, 13.325, 13.216, 13.301, 677856, 510628.5210510343
1526918400000, 13.311, 13.333, 13.161, 13.176, 1359312, 1027263.8554788631
1526920200000, 13.172, 13.32, 13.171, 13.315, 788472, 594496.2459407289
1526922000000, 13.311, 13.35, 13.27, 13.315, 347656, 261317.14667484123
1526923800000, 13.321, 13.35, 13.255, 13.255, 404124, 303439.4871170007
1526925600000, 13.255, 13.319, 13.182, 13.25, 655756, 494911.54906764824
1526927400000, 13.25, 13.282, 13.222, 13.231, 347112, 261822.84901000344
1526929200000, 13.231, 13.324, 13.225, 13.255, 284012, 213921.35029963774
1526931000000, 13.256, 13.327, 13.235, 13.286, 291158, 219163.6609784497
1526932800000, 13.305, 13.365, 13.27, 13.329, 210252, 157772.25716500543
1526934600000, 13.345, 13.443, 13.331, 13.43, 309404, 230808.61945876273
1526936400000, 13.434, 13.459, 13.414, 13.452, 252356, 187783.89373175305
1526938200000, 13.452, 13.46, 13.325, 13.334, 362680, 270686.43302770046
1526940000000, 13.336, 13.366, 13.3, 13.361, 225652, 169236.3671834882
1526941800000, 13.355, 13.437, 13.349, 13.431, 326506, 243988.6462139411
1526943600000, 13.434, 13.487, 13.362, 13.453, 384886, 286425.1862302419
1526945400000, 13.454, 13.472, 13.382, 13.47, 419330, 312299.23813419987
1526947200000, 13.471, 13.498, 13.4, 13.407, 391256, 290812.1899768733
1526949000000, 13.42, 13.429, 13.15, 13.172, 1200464, 907002.8100347106
1526950800000, 13.172, 13.209, 12.988, 13.02, 1953820, 1495188.1066409699
1526952600000, 13.03, 13.039, 12.854, 12.986, 1743510, 1345427.5620032714
1526954400000, 12.984, 13.067, 12.96, 13.054, 827350, 635635.9564057024
1526956200000, 13.04, 13.097, 12.996, 13.007, 633672, 485592.55923858826
1526958000000, 13.006, 13.08, 12.95, 13.08, 1001104, 769146.4322419233
1526959800000, 13.078, 13.09, 13.045, 13.079, 410764, 314286.5728752916
1526961600000, 13.087, 13.09, 12.98, 13, 492728, 378436.74727445736
1526963400000, 13.001, 13.034, 12.85, 12.886, 1195568, 923005.1841514516
1526965200000, 12.885, 13.02, 12.87, 13.001, 901834, 697093.9684433679
